review_text,cleaned_text,rating,date,period,overall_sentiment,price_sentiment,quality_sentiment,features_sentiment,delivery_sentiment,service_sentiment
"This unit has a powerful processor, load contents very quick and stream the movie so smooth.","this unit has a powerful processor, load contents very quick and stream the movie so smooth.",5.0,2020-11-02,pre-inflation,0.4215,,,0.4215,,
it works perfectly...4k for 4k tivi and amazon prime,it works perfectly...4k for 4k tivi and amazon prime,5.0,2020-08-06,pre-inflation,0.1779,,,0.1779,,
"Love it. Would definitely recommend to a friend. Just the right size to hold in one hand and ""turn"" pages with the other.",love it. would definitely recommend to a friend. just the right size to hold in one hand and turn pages with the other.,5.0,2020-08-16,pre-inflation,0.9413,,,,,
"I bought this for my wife who is not much of a tablet person. She likes it now to check emails, news, Skype and such. It was a Black Friday special. It is easy to use and small to carry in her purse. My only complaint is that the videos are not watchable at times but that may be due to my internet connection being slow at times. Overall a Best Buy!","i bought this for my wife who is not much of a tablet person. she likes it now to check emails, news, skype and such. it was a black friday special. it is easy to use and small to carry in her purse. my only complaint is that the videos are not watchable at times but that may be due to my internet connection being slow at times. overall a best buy!",4.0,2020-03-14,pre-inflation,0.8805,,,,,
"Bought 2 of these for my 6 and 8 yr old and it said it came with 32gb storage but actual storage was a little less, cant remember exactly how much probably around 20gb with the other necessary programs that come already pre-installed. They mainly use it for games and have downloaded many games on them. There is room for external storage and it also has a front and rear camera. love the product. comes in different color as well. I got the blue!","bought 2 of these for my 6 and 8 yr old and it said it came with 32gb storage but actual storage was a little less, cant remember exactly how much probably around 20gb with the other necessary programs that come already preinstalled. they mainly use it for games and have downloaded many games on them. there is room for external storage and it also has a front and rear camera. love the product. comes in different color as well. i got the blue!",4.0,2020-06-09,pre-inflation,0.8671,,,0.0,,
Fire tv works really well. It was easy to set up. No problems at all.,fire tv works really well. it was easy to set up. no problems at all.,5.0,2020-05-17,pre-inflation,0.6311,,,-0.0018,,
"For the price you can't beat this little tablet, it does an awesome job!","for the price you cant beat this little tablet, it does an awesome job!",5.0,2020-08-12,pre-inflation,0.6588,0.6588,,,,
Echo works great and she is much funnier then Siri for sure and they are expanding her capacity all the time. Well worth the money,echo works great and she is much funnier then siri for sure and they are expanding her capacity all the time. well worth the money,5.0,2021-01-07,pre-inflation,0.9022,0.4588,,0.8442,,
Necessary for recharging Voyage kindle.,necessary for recharging voyage kindle.,5.0,2020-10-27,pre-inflation,0.0,,,,,
Love the child profiles for my kids and all the parental controls! Great for price,love the child profiles for my kids and all the parental controls! great for price,4.0,2021-05-14,pre-inflation,0.8622,0.6249,,,,
